ticker,sector,risk_prob,debt_to_assets,volatility_6m,cash_to_assets
D,Utilities,0.20293333,0.3412209259666887,2.318481604549335,0.0016875779587643995
SW,Materials,0.033049844,0.31067894604538493,3.6241809731319807,0.019538837724810895
JKHY,Financials,0.03267578,0.020516460869467096,3.399253900338505,0.0
ERIE,Financials,0.025495987,0.0,17.198256999816014,0.0
SOLV,Health Care,0.025283962,0.5402227294736114,3.7326038217740907,0.05270803071176593
COHR,Information Technology,0.024549577,0.30887031728158426,7.18934923166002,0.0
BMY,Health Care,0.024168704,0.4179531100579031,3.7357887124287523,0.12047205203921857
STZ,Consumer Staples,0.02371071,0.4251373011517338,10.958936132938671,0.005931876831817279
KVUE,Consumer Staples,0.020153265,0.2975476643567556,0.851626113599924,0.04962119852069943
PPL,Utilities,0.019886006,0.3957973167109012,0.9383582288282655,0.007450875356108014
MCHP,Information Technology,0.018537717,0.3662144055780313,7.091551361311544,0.05019317575741808
FICO,Information Technology,0.017138,1.181794232267132,52.01708172499486,0.08682768344187482
EVRG,Utilities,0.017114867,0.33590144422327645,3.0541666564094934,0.0008545298559845913
IBM,Information Technology,0.01688518,0.41812024460038005,15.017475679951056,0.09662750201492151
PGR,Financials,0.016280774,0.0,9.328113445431992,0.0
D,Utilities,0.013732242,0.3908118927891422,1.637732937814901,0.0030269003563931063
TDY,Information Technology,0.012528239,0.18204971124525912,19.521031623142857,0.0446244811707129
ES,Utilities,0.011060356,0.37053654925992235,4.711085645217109,0.007037265948913131
PCG,Utilities,0.010248747,0.4197178112673207,1.2439564393603533,0.006186574963757122
PCG,Utilities,0.01015663,0.43712708237203457,0.6976280549910362,0.005051790800171841
